LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,06/26/2015 04:49:00 AM,P15034514,"(35.91318572848998, -78.7871470945221)",NORTHWEST
40A,Motor Vehicle Theft,06/25/2015 10:59:00 PM,P15034484,"(35.85021982152855, -78.58645650693632)",NORTH
40A,Motor Vehicle Theft,06/25/2015 12:24:00 PM,P15034367,"(35.90726102079572, -78.78775058804317)",NORTHWEST
40A,Motor Vehicle Theft,06/25/2015 11:08:00 AM,P15034345,"(35.844593092009724, -78.59381251293942)",NORTH
40A,Motor Vehicle Theft,06/25/2015 03:08:00 AM,P15034301,"(35.85750120556204, -78.7139759918715)",NORTHWEST
40A,Motor Vehicle Theft,06/25/2015 01:44:00 AM,P15034290,"(35.86312603796737, -78.69914244757113)",NORTH
40A,Motor Vehicle Theft,06/25/2015 12:55:00 AM,P15034287,"(35.76684316449604, -78.59906759084532)",SOUTHEAST
40A,Motor Vehicle Theft,06/23/2015 09:38:00 PM,P15034068,"(35.727264517570184, -78.64956334197117)",DOWNTOWN
40A,Motor Vehicle Theft,06/23/2015 01:50:00 PM,P15033980,"(35.8178190245935, -78.62500327578957)",NORTH
40A,Motor Vehicle Theft,06/23/2015 05:34:00 AM,P15033911,"(35.74394962669309, -78.63698900262533)",DOWNTOWN
40A,Motor Vehicle Theft,06/21/2015 11:15:00 PM,P15033667,"(35.7979158033065, -78.57662726664854)",SOUTHEAST
40A,Motor Vehicle Theft,06/21/2015 07:19:00 PM,P15033638,"(35.78682773273214, -78.70142250017646)",SOUTWEST
40A,Motor Vehicle Theft,06/21/2015 08:23:00 AM,P15033568,"(35.78860338910145, -78.58113213150483)",SOUTHEAST
40A,Motor Vehicle Theft,06/21/2015 07:51:00 AM,P15033564,"(35.7657936907982, -78.63419068029037)",DOWNTOWN
40A,Motor Vehicle Theft,06/21/2015 12:22:00 AM,P15033523,"(35.787170580930564, -78.58029475487375)",SOUTHEAST
40A,Motor Vehicle Theft,06/20/2015 10:14:00 AM,P15033398,"(35.741463012798455, -78.60586882396696)",SOUTHEAST
40A,Motor Vehicle Theft,06/20/2015 09:31:00 AM,P15033413,"(35.76308581092149, -78.59424001738994)",SOUTHEAST
40A,Motor Vehicle Theft,06/20/2015 09:06:00 AM,P15033384,"(35.866719112466626, -78.5932262720939)",NORTH
40A,Motor Vehicle Theft,06/19/2015 08:17:00 AM,P15033155,"(35.832921733000035, -78.71222058599994)",NORTHWEST
40A,Motor Vehicle Theft,06/19/2015 07:17:00 AM,P15033154,"(35.739917802000036, -78.60854987199998)",SOUTHEAST
40A,Motor Vehicle Theft,06/19/2015 05:33:00 AM,P15033140,"(35.86561511000008, -78.70984156799994)",NORTHWEST
40A,Motor Vehicle Theft,06/18/2015 03:55:00 PM,P15033039,"(35.860414111215036, -78.6009262905415)",NORTH
40A,Motor Vehicle Theft,06/18/2015 12:06:00 PM,P15033015,"(35.82370837932661, -78.58800023665596)",NORTH
40A,Motor Vehicle Theft,06/18/2015 09:14:00 AM,P15032973,"(35.79521332646412, -78.61353036675449)",SOUTHEAST
40A,Motor Vehicle Theft,06/17/2015 09:44:00 PM,P15032909,"(35.798507086934244, -78.56134263068294)",NORTHEAST
40A,Motor Vehicle Theft,06/17/2015 08:04:00 PM,P15032881,"(35.77477033780653, -78.63347198493815)",DOWNTOWN
